Extracted features not found, loading raw features.
Iteration 125: Grad norm bound = 0.000056, time = 0.01s
Iteration 126: Grad norm bound = 0.000061, time = 0.01s
Iteration 127: Grad norm bound = 0.000065, time = 0.01s
Iteration 128: Grad norm bound = 0.000055, time = 0.01s
Iteration 129: Grad norm bound = 0.000061, time = 0.01s
Iteration 130: Grad norm bound = 0.000082, time = 0.01s
Iteration 131: Grad norm bound = 0.000057, time = 0.01s
Iteration 132: Grad norm bound = 0.000071, time = 0.01s
Iteration 133: Grad norm bound = 0.000055, time = 0.01s
Iteration 134: Grad norm bound = 0.000052, time = 0.01s
Iteration 135: Grad norm bound = 0.000052, time = 0.01s
Iteration 136: Grad norm bound = 0.000065, time = 0.01s
Iteration 137: Grad norm bound = 0.000071, time = 0.01s
Iteration 138: Grad norm bound = 0.000055, time = 0.01s
Iteration 139: Grad norm bound = 0.000053, time = 0.01s
Iteration 140: Grad norm bound = 0.000051, time = 0.01s
Iteration 141: Grad norm bound = 0.000068, time = 0.01s
Iteration 142: Grad norm bound = 0.000060, time = 0.01s
Iteration 143: Grad norm bound = 0.000069, time = 0.01s
Iteration 144: Grad norm bound = 0.000058, time = 0.01s
Iteration 145: Grad norm bound = 0.000059, time = 0.01s
Iteration 146: Grad norm bound = 0.000083, time = 0.01s
Iteration 147: Grad norm bound = 0.000058, time = 0.01s
Iteration 148: Grad norm bound = 0.000072, time = 0.01s
Iteration 149: Grad norm bound = 0.000057, time = 0.01s
Iteration 150: Grad norm bound = 0.000059, time = 0.01s
Iteration 151: Grad norm bound = 0.000051, time = 0.01s
Iteration 152: Grad norm bound = 0.000060, time = 0.01s
Iteration 153: Grad norm bound = 0.000063, time = 0.01s
Iteration 154: Grad norm bound = 0.000070, time = 0.01s
Iteration 155: Grad norm bound = 0.000057, time = 0.01s
Iteration 156: Grad norm bound = 0.000064, time = 0.01s
Iteration 157: Grad norm bound = 0.000055, time = 0.01s
Iteration 158: Grad norm bound = 0.000062, time = 0.01s
Iteration 159: Grad norm bound = 0.000056, time = 0.01s
Iteration 160: Grad norm bound = 0.000058, time = 0.01s
Iteration 161: Grad norm bound = 0.000073, time = 0.01s
Iteration 162: Grad norm bound = 0.000069, time = 0.01s
Iteration 163: Grad norm bound = 0.000053, time = 0.01s
Iteration 164: Grad norm bound = 0.000076, time = 0.01s
Iteration 165: Grad norm bound = 0.000054, time = 0.01s
Iteration 166: Grad norm bound = 0.000067, time = 0.01s
Iteration 167: Grad norm bound = 0.000061, time = 0.01s
Iteration 168: Grad norm bound = 0.000058, time = 0.01s
Iteration 169: Grad norm bound = 0.000074, time = 0.01s
Iteration 170: Grad norm bound = 0.000059, time = 0.01s
Iteration 171: Grad norm bound = 0.000072, time = 0.01s
Iteration 172: Grad norm bound = 0.000057, time = 0.01s
Iteration 173: Grad norm bound = 0.000066, time = 0.01s
Iteration 174: Grad norm bound = 0.000050, time = 0.01s
Iteration 175: Grad norm bound = 0.000056, time = 0.01s
Iteration 176: Grad norm bound = 0.000056, time = 0.01s
Iteration 177: Grad norm bound = 0.000064, time = 0.01s
Iteration 178: Grad norm bound = 0.000059, time = 0.01s
Iteration 179: Grad norm bound = 0.000059, time = 0.01s
Iteration 180: Grad norm bound = 0.000061, time = 0.01s
Iteration 181: Grad norm bound = 0.000063, time = 0.01s
Iteration 182: Grad norm bound = 0.000057, time = 0.01s
Iteration 183: Grad norm bound = 0.000054, time = 0.01s
Iteration 184: Grad norm bound = 0.000075, time = 0.01s
Iteration 185: Grad norm bound = 0.000060, time = 0.01s
Iteration 186: Grad norm bound = 0.000067, time = 0.01s
Iteration 187: Grad norm bound = 0.000062, time = 0.01s
Iteration 188: Grad norm bound = 0.000062, time = 0.01s
Iteration 189: Grad norm bound = 0.000072, time = 0.01s
Iteration 190: Grad norm bound = 0.000060, time = 0.01s
Iteration 191: Grad norm bound = 0.000065, time = 0.01s
Iteration 192: Grad norm bound = 0.000057, time = 0.01s
Iteration 193: Grad norm bound = 0.000065, time = 0.01s
Iteration 194: Grad norm bound = 0.000056, time = 0.01s
Iteration 195: Grad norm bound = 0.000065, time = 0.01s
Iteration 196: Grad norm bound = 0.000072, time = 0.01s
Iteration 197: Grad norm bound = 0.000063, time = 0.01s
Iteration 198: Grad norm bound = 0.000059, time = 0.01s
Iteration 199: Grad norm bound = 0.000069, time = 0.01s
Iteration 200: Grad norm bound = 0.000056, time = 0.01s
Iteration 201: Grad norm bound = 0.000058, time = 0.01s
Iteration 202: Grad norm bound = 0.000078, time = 0.01s
Iteration 203: Grad norm bound = 0.000069, time = 0.01s
Iteration 204: Grad norm bound = 0.000066, time = 0.01s
Iteration 205: Grad norm bound = 0.000060, time = 0.01s
Iteration 206: Grad norm bound = 0.000054, time = 0.01s
Iteration 207: Grad norm bound = 0.000062, time = 0.01s
Iteration 208: Grad norm bound = 0.000053, time = 0.01s
Iteration 209: Grad norm bound = 0.000084, time = 0.01s
Iteration 210: Grad norm bound = 0.000057, time = 0.01s
Iteration 211: Grad norm bound = 0.000066, time = 0.01s
Iteration 212: Grad norm bound = 0.000066, time = 0.01s
Iteration 213: Grad norm bound = 0.000052, time = 0.01s
Iteration 214: Grad norm bound = 0.000062, time = 0.01s
Iteration 215: Grad norm bound = 0.000068, time = 0.01s
Iteration 216: Grad norm bound = 0.000055, time = 0.01s
Iteration 217: Grad norm bound = 0.000061, time = 0.01s
Iteration 218: Grad norm bound = 0.000059, time = 0.01s
Iteration 219: Grad norm bound = 0.000061, time = 0.01s
Iteration 220: Grad norm bound = 0.000074, time = 0.01s
Iteration 221: Grad norm bound = 0.000085, time = 0.01s
Iteration 222: Grad norm bound = 0.000065, time = 0.01s
Iteration 223: Grad norm bound = 0.000064, time = 0.01s
Iteration 224: Grad norm bound = 0.000063, time = 0.01s
Iteration 225: Grad norm bound = 0.000054, time = 0.01s
Iteration 226: Grad norm bound = 0.000051, time = 0.01s
Iteration 227: Grad norm bound = 0.000055, time = 0.01s
Iteration 228: Grad norm bound = 0.000061, time = 0.01s
Iteration 229: Grad norm bound = 0.000059, time = 0.01s
Iteration 230: Grad norm bound = 0.000069, time = 0.01s
Iteration 231: Grad norm bound = 0.000072, time = 0.01s
Iteration 232: Grad norm bound = 0.000062, time = 0.01s
Iteration 233: Grad norm bound = 0.000069, time = 0.01s
Iteration 234: Grad norm bound = 0.000061, time = 0.01s
Iteration 235: Grad norm bound = 0.000075, time = 0.01s
Iteration 236: Grad norm bound = 0.000057, time = 0.01s
Iteration 237: Grad norm bound = 0.000066, time = 0.01s
Iteration 238: Grad norm bound = 0.000065, time = 0.01s
Iteration 239: Grad norm bound = 0.000067, time = 0.01s
Iteration 240: Grad norm bound = 0.000067, time = 0.01s
Iteration 241: Grad norm bound = 0.000058, time = 0.01s
Iteration 242: Grad norm bound = 0.000061, time = 0.01s
Iteration 243: Grad norm bound = 0.000052, time = 0.01s
Iteration 244: Grad norm bound = 0.000073, time = 0.01s
Iteration 245: Grad norm bound = 0.000055, time = 0.01s
Iteration 246: Grad norm bound = 0.000067, time = 0.01s
Iteration 247: Grad norm bound = 0.000069, time = 0.01s
Iteration 248: Grad norm bound = 0.000049, time = 0.01s
Iteration 249: Grad norm bound = 0.000068, time = 0.01s
Iteration 250: Grad norm bound = 0.000072, time = 0.01s
Iteration 251: Grad norm bound = 0.000061, time = 0.01s
Iteration 252: Grad norm bound = 0.000067, time = 0.01s
Iteration 253: Grad norm bound = 0.000077, time = 0.01s
Iteration 254: Grad norm bound = 0.000061, time = 0.01s
Iteration 255: Grad norm bound = 0.000058, time = 0.01s
Iteration 256: Grad norm bound = 0.000065, time = 0.01s
Iteration 257: Grad norm bound = 0.000060, time = 0.01s
Iteration 258: Grad norm bound = 0.000057, time = 0.01s
Iteration 259: Grad norm bound = 0.000083, time = 0.01s
Iteration 260: Grad norm bound = 0.000067, time = 0.01s
Iteration 261: Grad norm bound = 0.000079, time = 0.01s
Iteration 262: Grad norm bound = 0.000077, time = 0.01s
Iteration 263: Grad norm bound = 0.000074, time = 0.01s
Iteration 264: Grad norm bound = 0.000053, time = 0.01s
Iteration 265: Grad norm bound = 0.000069, time = 0.01s
Iteration 266: Grad norm bound = 0.000063, time = 0.01s
Iteration 267: Grad norm bound = 0.000065, time = 0.01s
Iteration 268: Grad norm bound = 0.000067, time = 0.01s
Iteration 269: Grad norm bound = 0.000070, time = 0.01s
Iteration 270: Grad norm bound = 0.000055, time = 0.01s
Iteration 271: Grad norm bound = 0.000070, time = 0.01s
Iteration 272: Grad norm bound = 0.000055, time = 0.01s
Iteration 273: Grad norm bound = 0.000066, time = 0.01s
Iteration 274: Grad norm bound = 0.000073, time = 0.01s
Iteration 275: Grad norm bound = 0.000061, time = 0.01s
Iteration 276: Grad norm bound = 0.000054, time = 0.01s
Iteration 277: Grad norm bound = 0.000079, time = 0.01s
Iteration 278: Grad norm bound = 0.000071, time = 0.01s
Iteration 279: Grad norm bound = 0.000059, time = 0.01s
Iteration 280: Grad norm bound = 0.000065, time = 0.01s
Iteration 281: Grad norm bound = 0.000057, time = 0.01s
Iteration 282: Grad norm bound = 0.000051, time = 0.01s
Iteration 283: Grad norm bound = 0.000055, time = 0.01s
Iteration 284: Grad norm bound = 0.000054, time = 0.01s
Iteration 285: Grad norm bound = 0.000053, time = 0.01s
Iteration 286: Grad norm bound = 0.000052, time = 0.01s
Iteration 287: Grad norm bound = 0.000071, time = 0.01s
Iteration 288: Grad norm bound = 0.000075, time = 0.01s
Iteration 289: Grad norm bound = 0.000063, time = 0.01s
Iteration 290: Grad norm bound = 0.000053, time = 0.01s
Iteration 291: Grad norm bound = 0.000067, time = 0.01s
Iteration 292: Grad norm bound = 0.000055, time = 0.01s
Iteration 293: Grad norm bound = 0.000060, time = 0.01s
Iteration 294: Grad norm bound = 0.000064, time = 0.01s
Iteration 295: Grad norm bound = 0.000060, time = 0.01s
Iteration 296: Grad norm bound = 0.000064, time = 0.01s
Iteration 297: Grad norm bound = 0.000052, time = 0.01s
Iteration 298: Grad norm bound = 0.000078, time = 0.01s
Iteration 299: Grad norm bound = 0.000072, time = 0.01s
Iteration 300: Grad norm bound = 0.000056, time = 0.01s
Iteration 301: Grad norm bound = 0.000057, time = 0.01s
Iteration 302: Grad norm bound = 0.000079, time = 0.01s
Iteration 303: Grad norm bound = 0.000057, time = 0.01s
Iteration 304: Grad norm bound = 0.000050, time = 0.01s
Iteration 305: Grad norm bound = 0.000049, time = 0.01s
Iteration 306: Grad norm bound = 0.000054, time = 0.01s
Iteration 307: Grad norm bound = 0.000063, time = 0.01s
Iteration 308: Grad norm bound = 0.000065, time = 0.01s
Iteration 309: Grad norm bound = 0.000066, time = 0.01s
Iteration 310: Grad norm bound = 0.000081, time = 0.01s
Iteration 311: Grad norm bound = 0.000062, time = 0.01s
Iteration 312: Grad norm bound = 0.000058, time = 0.01s
Iteration 313: Grad norm bound = 0.000070, time = 0.01s
Iteration 314: Grad norm bound = 0.000064, time = 0.01s
Iteration 315: Grad norm bound = 0.000066, time = 0.01s
Iteration 316: Grad norm bound = 0.000057, time = 0.01s
Iteration 317: Grad norm bound = 0.000063, time = 0.01s
Iteration 318: Grad norm bound = 0.000058, time = 0.01s
Iteration 319: Grad norm bound = 0.000057, time = 0.01s
Iteration 320: Grad norm bound = 0.000057, time = 0.01s
Iteration 321: Grad norm bound = 0.000055, time = 0.01s
Iteration 322: Grad norm bound = 0.000062, time = 0.01s
Iteration 323: Grad norm bound = 0.000064, time = 0.01s
Iteration 324: Grad norm bound = 0.000060, time = 0.01s
Iteration 325: Grad norm bound = 0.000056, time = 0.01s
Iteration 326: Grad norm bound = 0.000064, time = 0.01s
Iteration 327: Grad norm bound = 0.000059, time = 0.01s
Iteration 328: Grad norm bound = 0.000070, time = 0.01s
Iteration 329: Grad norm bound = 0.000059, time = 0.01s
Iteration 330: Grad norm bound = 0.000062, time = 0.01s
Iteration 331: Grad norm bound = 0.000062, time = 0.01s
Iteration 332: Grad norm bound = 0.000065, time = 0.01s
Iteration 333: Grad norm bound = 0.000069, time = 0.01s
Iteration 334: Grad norm bound = 0.000061, time = 0.01s
Iteration 335: Grad norm bound = 0.000071, time = 0.01s
Iteration 336: Grad norm bound = 0.000052, time = 0.01s
Iteration 337: Grad norm bound = 0.000074, time = 0.01s
Iteration 338: Grad norm bound = 0.000082, time = 0.01s
Iteration 339: Grad norm bound = 0.000063, time = 0.01s
Iteration 340: Grad norm bound = 0.000056, time = 0.01s
Iteration 341: Grad norm bound = 0.000063, time = 0.01s
Iteration 342: Grad norm bound = 0.000059, time = 0.01s
Iteration 343: Grad norm bound = 0.000060, time = 0.01s
Iteration 344: Grad norm bound = 0.000058, time = 0.01s
Iteration 345: Grad norm bound = 0.000056, time = 0.01s
Iteration 346: Grad norm bound = 0.000070, time = 0.01s
Iteration 347: Grad norm bound = 0.000066, time = 0.01s
Iteration 348: Grad norm bound = 0.000078, time = 0.01s
Iteration 349: Grad norm bound = 0.000062, time = 0.01s
Iteration 350: Grad norm bound = 0.000059, time = 0.01s
Iteration 351: Grad norm bound = 0.000053, time = 0.01s
Iteration 352: Grad norm bound = 0.000059, time = 0.01s
Iteration 353: Grad norm bound = 0.000052, time = 0.01s
Iteration 354: Grad norm bound = 0.000058, time = 0.01s
Iteration 355: Grad norm bound = 0.000054, time = 0.01s
Iteration 356: Grad norm bound = 0.000069, time = 0.01s
Iteration 357: Grad norm bound = 0.000067, time = 0.01s
Iteration 358: Grad norm bound = 0.000060, time = 0.01s
Iteration 359: Grad norm bound = 0.000058, time = 0.01s
Iteration 360: Grad norm bound = 0.000071, time = 0.01s
Iteration 361: Grad norm bound = 0.000054, time = 0.01s
Iteration 362: Grad norm bound = 0.000078, time = 0.01s
Iteration 363: Grad norm bound = 0.000054, time = 0.01s
Iteration 364: Grad norm bound = 0.000071, time = 0.01s
Iteration 365: Grad norm bound = 0.000066, time = 0.01s
Iteration 366: Grad norm bound = 0.000058, time = 0.01s
Iteration 367: Grad norm bound = 0.000058, time = 0.01s
Iteration 368: Grad norm bound = 0.000081, time = 0.01s
Iteration 369: Grad norm bound = 0.000064, time = 0.01s
Iteration 370: Grad norm bound = 0.000079, time = 0.01s
Iteration 371: Grad norm bound = 0.000073, time = 0.01s
Iteration 372: Grad norm bound = 0.000067, time = 0.01s
Iteration 373: Grad norm bound = 0.000073, time = 0.01s
Iteration 374: Grad norm bound = 0.000065, time = 0.01s
Iteration 375: Grad norm bound = 0.000063, time = 0.01s
Iteration 376: Grad norm bound = 0.000056, time = 0.01s
Iteration 377: Grad norm bound = 0.000058, time = 0.01s
Iteration 378: Grad norm bound = 0.000060, time = 0.01s
Iteration 379: Grad norm bound = 0.000064, time = 0.01s
Iteration 380: Grad norm bound = 0.000071, time = 0.01s
Iteration 381: Grad norm bound = 0.000065, time = 0.01s
Iteration 382: Grad norm bound = 0.000053, time = 0.01s
